,Building,Facilities,Facilities,Facilities
0,Central and Western District,,,
1,香港海事博物館,mobility,locked facility,
2,海富中心,mobility,,
3,香港醫學博物館,mobility,,
4,香港大學美術博物館,,,
5,文武廟,,,
6,利源東街,mobility,,
7,利源西街,mobility,,
8,砵甸乍街,,,
9,港島香格里拉酒店,mobility,,
10,太平山獅子亭,,,
11,聖母無原罪主教座堂,,,
12,西港城,,,
13,上環文娛中心,,,
14,上環文娛中心,,,
15,臨時市場,,,
16,山頂,mobility,mobility (parking),
17,海富中心,mobility,hearing,visual
18,歷山大廈,mobility,hearing,visual
19,國際金融中心商場,mobility,mobility (parking),
20,置地廣場,mobility,,
21,宏基國際賓館,mobility,hearing,
22,萬宜大廈,mobility,hearing,
23,太古廣場,mobility,hearing,
24,藥材街,mobility,,
25,中環麗栢酒店,mobility,hearing,
26,古董街,mobility,,
27,山頂廣場,mobility,,
28,西港城,mobility,,
29,凌霄閣,mobility,hearing,visual
30,太子大廈,mobility,,
31,金鐘廊,mobility,,
32,信德中心,mobility,,
33,統一中心,mobility,,
34,香港大會堂,mobility,hearing,visual
35,海味街,mobility,mobility (parking),
36,聖約翰座堂,mobility,mobility (parking),
37,四季酒店,mobility,hearing,visual
38,仁民飯店,mobility,hearing,visual
39,蘭桂坊酒店,mobility,visual,hearing
40,香港文華東方酒店,mobility,,
41,孫中山紀念館,mobility,hearing,visual
42,香港華美達酒店,mobility,hearing,visual
43,茶具文物館,mobility,hearing,
