,Building,Facilities,Facilities,Facilities,Facilities
0,Eastern District,,,,
1,香港海防博物館,mobility,visual,,
2,太古城中心,mobility,hearing,visual,mobility (parking)
3,羅屋民俗館,,,,
4,(天后)天后廟,mobility,,,
5,北角海逸酒店,mobility,hearing,visual,
6,銅鑼灣海景酒店,mobility,,,
7,西灣河文娛中心,,,,
8,太古城中心第1、2期鰂魚涌太古城道18號,mobility,mobility (parking),,
9,杏花新城,mobility,hearing,visual,mobility (parking)
10,銅鑼灣皇悅酒店,mobility,visual,,
11,港島海逸君綽酒店,mobility,,,
12,維景酒店,mobility,hearing,visual,
13,葛亮洪號滅火輪展覽館,mobility,mobility (parking),,
14,香港電影資料館,mobility,hearing,visual,mobility (parking)
