,Building,Facilities,Facilities,Facilities,,
,,,,,,
1,香港海事博物館,mobility,locked facility,,,
2,海富中心,mobility,,,,
3,香港醫學博物館,mobility,,,,
4,香港大學美術博物館,,,,,
5,文武廟,,,,,
6,利源東街,mobility,,,,
7,利源西街,mobility,,,,
8,砵甸乍街,,,,,
9,港島香格里拉酒店,mobility,,,,
10,太平山獅子亭,,,,,
11,聖母無原罪主教座堂,,,,,
12,西港城,,,,,
13,上環文娛中心,,,,,
14,上環文娛中心,,,,,
15,臨時市場,,,,,
16,山頂,mobility,mobility (parking),,,
17,海富中心,mobility,hearing,visual,,
18,歷山大廈,mobility,hearing,visual,,
19,國際金融中心商場,mobility,mobility (parking),,,
20,置地廣場,mobility,,,,
21,宏基國際賓館,mobility,hearing,,,
22,萬宜大廈,mobility,hearing,,,
23,太古廣場,mobility,hearing,,,
24,藥材街,mobility,,,,
25,中環麗栢酒店,mobility,hearing,,,
26,古董街,mobility,,,,
27,山頂廣場,mobility,,,,
28,西港城,mobility,,,,
29,凌霄閣,mobility,hearing,visual,,
30,太子大廈,mobility,,,,
31,金鐘廊,mobility,,,,
32,信德中心,mobility,,,,
33,統一中心,mobility,,,,
34,香港大會堂,mobility,hearing,visual,,
35,海味街,mobility,mobility (parking),,,
36,聖約翰座堂,mobility,mobility (parking),,,
37,四季酒店,mobility,hearing,visual,,
38,仁民飯店,mobility,hearing,visual,,
39,蘭桂坊酒店,mobility,visual,hearing,,
40,香港文華東方酒店,mobility,,,,
41,孫中山紀念館,mobility,hearing,visual,,
42,香港華美達酒店,mobility,hearing,visual,,
43,茶具文物館,mobility,hearing,,,
1,香港海防博物館,mobility,visual,,,
2,太古城中心,mobility,hearing,visual,mobility (parking),
3,羅屋民俗館,,,,,
4,(天后)天后廟,mobility,,,,
5,北角海逸酒店,mobility,hearing,visual,,
6,銅鑼灣海景酒店,mobility,,,,
7,西灣河文娛中心,,,,,
8,太古城中心第1、2期鰂魚涌太古城道18號,mobility,mobility (parking),,,
9,杏花新城,mobility,hearing,visual,mobility (parking),
10,銅鑼灣皇悅酒店,mobility,visual,,,
11,港島海逸君綽酒店,mobility,,,,
12,維景酒店,mobility,hearing,visual,,
13,葛亮洪號滅火輪展覽館,mobility,mobility (parking),,,
14,香港電影資料館,mobility,hearing,visual,mobility (parking),
1,翔天廊,mobility,hearing,visual,mobility (parking),
2,迪士尼好萊塢酒店,hearing,visual,mobility,mobility (parking),
3,東薈城名店倉,mobility,hearing,visual,mobility (parking),
4,翔天廊,mobility,hearing,visual,mobility (parking),
5,天際萬豪酒店,mobility,hearing,visual,,
6,諾富特東薈城酒店,mobility,hearing,visual,,
7,長洲,mobility,,,,
8,天壇大佛,mobility,,,,
9,大澳漁村,mobility,,,,
10,南丫島,mobility,,,,
11,昂坪360,,,,,
12,寶蓮禪寺,,,,,
13,寶蓮禪寺,mobility,,,,
14,香港迪士尼樂園酒店,,,,,
15,香港迪士尼樂園,mobility,hearing,visual,,
16,亞洲國際博覽館,mobility,visual,hearing,mobility (parking),
17,昂坪市集,mobility,mobility (parking),,,
18,東薈城名店倉,mobility,hearing,visual,mobility (parking),
1,海逸酒店,mobility,visual,hearing,mobility (parking),
2,九龍維景酒店,mobility,hearing,,,
3,九龍寨城公園,mobility,,,,
4,啟德郵輪碼頭,visual,mobility (parking),mobility,,
5,九龍城廣場,mobility,hearing,visual,mobility (parking),
6,雀鳥花園,mobility,mobility (parking),,,
7,九龍城浸信會,mobility,,,,
8,黃埔新天地,mobility,mobility (parking),,,
9,高山劇場,mobility,visual,,,
1,新都會廣場,mobility,mobility (parking),,,
2,葵青劇院,,,,,
3,青衣城,mobility,visual,mobility (parking),,
1,APM,mobility,visual,mobility (parking),,
