,Building,Facilities,Facilities,Facilities,Facilities
0,Islands District,,,,
1,翔天廊,mobility,hearing,visual,mobility (parking)
2,迪士尼好萊塢酒店,hearing,visual,mobility,mobility (parking)
3,東薈城名店倉,mobility,hearing,visual,mobility (parking)
4,翔天廊,mobility,hearing,visual,mobility (parking)
5,天際萬豪酒店,mobility,hearing,visual,
6,諾富特東薈城酒店,mobility,hearing,visual,
7,長洲,mobility,,,
8,天壇大佛,mobility,,,
9,大澳漁村,mobility,,,
10,南丫島,mobility,,,
11,昂坪360,,,,
12,寶蓮禪寺,,,,
13,寶蓮禪寺,mobility,,,
14,香港迪士尼樂園酒店,,,,
15,香港迪士尼樂園,mobility,hearing,visual,
16,亞洲國際博覽館,mobility,visual,hearing,mobility (parking)
17,昂坪市集,mobility,mobility (parking),,
18,東薈城名店倉,mobility,hearing,visual,mobility (parking)
