,Building,Facilities,Facilities,Facilities,Facilities
0,Yau Tsim Mong District,,,,
1,粵海酒店,mobility,,,
2,都會海逸酒店,mobility,visual,,
3,香港日航酒店,mobility,hearing,,
4,帝國酒店,mobility,hearing,visual,
5,海景嘉福酒店,mobility,hearing,,
6,香港洲際酒店,mobility,hearing,visual,
7,君怡酒店,mobility,hearing,mobility (parking),
8,九龍酒店,mobility,,,
9,九龍香格里拉酒店,mobility,visual,,
10,旺角朗豪酒店,mobility,hearing,visual,
11,新世紀廣場,mobility,,,
12,海港城,mobility,hearing,mobility (parking),
13,馬哥孛羅香港酒店,mobility,hearing,,
14,都會商場,mobility,hearing,visual,
15,馬哥孛羅港威酒店,mobility,visual,,
16,奧海城,mobility,hearing,visual,
17,馬哥孛羅太子酒店,mobility,hearing,visual,
18,新港中心,mobility,visual,,
19,美麗華酒店,mobility,hearing,visual,
20,彌敦酒店,mobility,hearing,visual,
21,九龍諾富特酒店,mobility,hearing,visual,
22,百樂酒店,mobility,hearing,,
23,半島酒店,mobility,,,
24,香港文物探知館,mobility,hearing,visual,
25,恆豐酒店,mobility,hearing,,
26,香港藝術館,mobility,,,
27,九龍華美達酒店,mobility,hearing,,
28,富豪九龍酒店,mobility,,,
29,香港歷史博物館,mobility,hearing,visual,
30,新樂酒店,mobility,hearing,visual,
31,香港科學館,mobility,,,
32,香港太空館,mobility,hearing,visual,
33,清真寺,mobility,,,
34,天際100香港觀景台,,,,
35,天際100香港觀景台,,,,
36,sky100,,,,
37,sky1000,,,,
38,K11,,,,
39,先達廣場,,,,
40,國際廣場,,,,
41,油麻地戲院,,,,
42,天際100,mobility,,,
43,聖安德烈堂,,,,
44,香港喜来登酒店,,,,
45,香港 W 酒店,,,,
46,中港城,mobility,,,
47,圓方,mobility,,,
48,帝國中心,mobility,,,
49,港威商場 - 海港城,mobility,,,
50,新世紀廣場,mobility,,,
51,海港城,mobility,hearing,mobility (parking),
52,星光大道,mobility,mobility (parking),,
53,鐘樓,mobility,,,
54,1881 (前香港水警總部),mobility,,,
55,旺角電腦中心,mobility,visual,,
56,星光電腦城,mobility,,,
57,廟街夜市,mobility,mobility (parking),,
58,玉器市場,mobility,mobility (parking),,
59,女人街（通菜街）,mobility,mobility (parking),,
60,朗豪坊,mobility,visual,,
61,花園街,mobility (parking),,,
62,都會商場,mobility,visual,,
63,通菜街(金魚街),mobility (parking),,,
64,美麗華商場,mobility,hearing,,
65,新世界中心,mobility,,,
66,海洋中心 - 海港城,mobility,,,
67,海運大廈- 海港城,mobility,,,
68,奧海城,mobility,visual,hearing,mobility (parking)
69,九龍玫瑰堂,mobility,locked facility,,
70,栢麗購物大道,mobility,,,
71,始創中心,mobility,hearing,mobility (parking),
72,新港中心,mobility,,,
73,新太陽廣場,mobility,,,
74,循道衛理聯合教會九龍堂,mobility,,,
75,尖沙咀中心,mobility,,,
76,城景國際,mobility,hearing,visual,mobility (parking)
77,香港文化中心,mobility,visual,hearing,
78,帝豪九龍酒店,mobility,hearing,visual,
79,帝豪海景酒店,mobility,,,
80,逸東酒店,mobility,hearing,,
81,香港體育館,mobility,,,
82,九龍皇悅酒店,mobility,hearing,visual,locked facility
83,香港金域假日酒店,mobility,hearing,visual,
